"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"h:\TestApp\.expo-shared\assets.json", "JSON", 4, 0, 0, 1, 5
"h:\TestApp\App.js", "JavaScript", 0, 27, 4, 3, 34
"h:\TestApp\app.json", "JSON", 18, 0, 16, 0, 34
"h:\TestApp\babel.config.js", "JavaScript", 0, 6, 0, 2, 8
"h:\TestApp\package-lock.json", "JSON", 22205, 0, 0, 1, 22206
"h:\TestApp\package.json", "JSON", 30, 0, 0, 1, 31
"h:\TestApp\src\Colors.js", "JavaScript", 0, 16, 0, 2, 18
"h:\TestApp\src\components\ColorCounter.js", "JavaScript", 0, 20, 3, 7, 30
"h:\TestApp\src\components\ImageDetail.js", "JavaScript", 0, 14, 5, 6, 25
"h:\TestApp\src\screens\ColorScreen.js", "JavaScript", 0, 37, 5, 7, 49
"h:\TestApp\src\screens\ComponentsScreen.js", "JavaScript", 0, 32, 1, 5, 38
"h:\TestApp\src\screens\CounterScreen.js", "JavaScript", 0, 25, 3, 8, 36
"h:\TestApp\src\screens\HomeScreen.js", "JavaScript", 0, 42, 4, 9, 55
"h:\TestApp\src\screens\ImageScreen.js", "JavaScript", 0, 27, 2, 9, 38
"h:\TestApp\src\screens\ListScreen.js", "JavaScript", 0, 31, 13, 7, 51
"h:\TestApp\src\screens\SquareScreen.js", "JavaScript", 0, 56, 52, 15, 123
"h:\TestApp\src\screens\SquareScreenWithoutReducer.js", "JavaScript", 0, 0, 105, 2, 107
"Total", "-", 22257, 333, 213, 85, 22888
